,"Tube in -	Petit_Complexe	-	2012.09.27 13:25:11","Tube in -	Petit_Complexe	-	2012.09.27 13:25:03","Tube in -	Petit_Complexe	-	2012.09.27 13:31:05","Tube in -	Petit_Complexe	-	2012.09.27 13:30:56","Tube in -	Petit_Complexe	-	2012.09.27 13:33:33","Tube in -	Petit_Complexe	-	2012.09.27 13:33:26","Tube in -	Petit_Complexe	-	2012.09.27 13:34:47","Tube in -	Petit_Complexe	-	2012.09.27 13:34:40","Tube in -	Petit_Complexe	-	2012.09.27 13:36:44","Tube in -	Petit_Complexe	-	2012.09.27 13:36:38","Tube in -	Petit_Complexe	-	2012.09.27 13:38:28","Tube in -	Petit_Complexe	-	2012.09.27 13:38:20","Tube in -	Petit_Complexe	-	2012.09.27 13:40:55","Tube in -	Petit_Complexe	-	2012.09.27 13:40:48","Tube in -	Petit_Complexe	-	2012.09.27 13:42:10","Tube in -	Petit_Complexe	-	2012.09.27 13:42:03","Tube in -	Petit_Complexe	-	2012.09.27 13:45:51","Tube in -	Petit_Complexe	-	2012.09.27 13:45:45","Tube in -	Petit_Complexe	-	2012.09.27 13:47:51","Tube in -	Petit_Complexe	-	2012.09.27 13:47:43","Tube in -	Petit_Complexe	-	2012.09.27 13:49:10","Tube in -	Petit_Complexe	-	2012.09.27 13:49:03","Tube in -	Petit_Complexe	-	2012.09.27 16:57:15","Tube in -	Petit_Complexe	-	2012.09.27 16:57:09"
Freq,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data
1713.5,3.068370104,3.049521685,3.656177521,3.644443274,4.273536682,4.281178951,4.892799377,4.875914574,5.710675716,5.673922539,6.71604538,6.674991131,8.014651299,7.853596687,9.089876175,9.075892448,10.17458344,10.16590023,12.96383476,12.83592987,16.75810814,16.63572311,2.859884501,2.85344243
1714,3.057044268,3.039215565,3.648807764,3.637950659,4.256379604,4.264342785,4.881284714,4.86380291,5.685363293,5.650443554,6.681873322,6.64073658,7.983289242,7.822116375,9.051960945,9.037798882,10.11982536,10.11196136,12.85537624,12.73177433,16.57527924,16.4546032,2.848667145,2.842330217
1714.5,3.045812845,3.029072523,3.641385078,3.631082058,4.238955975,4.246826649,4.868830681,4.851081848,5.660262108,5.626969337,6.647067547,6.605004787,7.950822353,7.789646149,9.015526772,9.001243591,10.06798458,10.0602684,12.74914742,12.62835789,16.39665794,16.27896881,2.840576649,2.834636688
1715,3.026804447,3.010704994,3.624349356,3.613788128,4.209902287,4.217103958,4.841983795,4.824500084,5.619845867,5.587955952,6.592980385,6.550079823,7.89552927,7.733426571,8.954533577,8.939943314,9.987670898,9.980195045,12.60631752,12.48792267,16.16655922,16.05307579,2.828949451,2.823316813
1715.5,3.004582405,2.989130497,3.603352308,3.592170477,4.176395893,4.183707714,4.80966568,4.791755199,5.574291229,5.543683529,6.530632019,6.488444805,7.831197739,7.668557167,8.883178711,8.868186951,9.894794464,9.886826515,12.44646454,12.33099461,15.91250896,15.80296135,2.811563015,2.80552268
1716,2.990485191,2.975267887,3.591145277,3.580168486,4.154387951,4.161710262,4.789422989,4.771023273,5.544872284,5.515370846,6.485597134,6.444517136,7.787299633,7.624784946,8.834428787,8.819643974,9.82681179,9.818930626,12.32039547,12.20853615,15.70372581,15.5959568,2.796407223,2.789903164
1716.5,2.984942436,2.970005989,3.589161396,3.57811904,4.144346237,4.1515975,4.782325268,4.763000965,5.531973362,5.503315926,6.459620476,6.419357777,7.765043736,7.6025877,8.81045723,8.7960186,9.787870407,9.780358315,12.23486233,12.126297,15.55139351,15.44447422,2.789409876,2.782777071
1717,2.975822449,2.961297035,3.582350731,3.570572615,4.128580093,4.135237694,4.768211842,4.748679161,5.511777401,5.483833313,6.425932884,6.384946823,7.732390881,7.570049286,8.77496624,8.760216713,9.738641739,9.731087685,12.13968182,12.03371811,15.39050865,15.28602505,2.785884142,2.779284
1717.5,2.955709934,2.94194293,3.56172657,3.549324036,4.097136974,4.103121281,4.735189438,4.715995312,5.470639229,5.443218231,6.367323399,6.32566309,7.66931057,7.506305695,8.706151009,8.690757751,9.654872894,9.646530151,12.0017004,11.89800262,15.17577934,15.07540989,2.775063038,2.768654823
1718,2.9348557,2.921545029,3.539203167,3.526061296,4.064008236,4.069414139,4.699895382,4.680654049,5.426867962,5.40082407,6.304698467,6.263140678,7.60212326,7.438735485,8.634040833,8.617674828,9.567333221,9.558820724,11.85789394,11.75697899,14.95195866,14.85574722,2.756631374,2.749423981
