,"Tube in -	Grand_Complexe	-	2012.09.27 11:42:04","Tube in -	Grand_Complexe	-	2012.09.27 11:23:22","Tube in -	Grand_Complexe	-	2012.09.27 11:23:10","Tube in -	Grand_Complexe	-	2012.09.27 11:27:15","Tube in -	Grand_Complexe	-	2012.09.27 11:27:06","Tube in -	Grand_Complexe	-	2012.09.27 11:32:46","Tube in -	Grand_Complexe	-	2012.09.27 11:32:37","Tube in -	Grand_Complexe	-	2012.09.27 11:36:17","Tube in -	Grand_Complexe	-	2012.09.27 11:13:21","Tube in -	Grand_Complexe	-	2012.09.27 11:42:12","Tube in -	Grand_Complexe	-	2012.09.27 16:52:48","Tube in -	Grand_Complexe	-	2012.09.27 11:44:31","Tube in -	Grand_Complexe	-	2012.09.27 11:44:22","Tube in -	Grand_Complexe	-	2012.09.27 16:44:39","Tube in -	Grand_Complexe	-	2012.09.27 16:44:31","Tube in -	Grand_Complexe	-	2012.09.27 16:48:16","Tube in -	Grand_Complexe	-	2012.09.27 16:48:07","Tube in -	Grand_Complexe	-	2012.09.27 16:52:56","Tube in -	Grand_Complexe	-	2012.09.27 11:36:08"
Freq,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data
580.5,22.52480316,34.95690536,34.75919342,34.53520203,34.39048004,30.53335571,30.81679153,26.71921539,31.94862938,22.35705185,14.46969891,19.26603699,19.36773682,18.07594872,18.65625572,15.82979393,15.91388798,14.23911476,26.48038292
581,23.53879166,36.32094574,36.13185501,35.93173599,35.78723145,31.88292313,32.20770264,27.9618988,32.67378998,23.35477829,14.94512367,20.0411911,20.15042877,18.78928185,19.433321,16.38438225,16.48781586,14.68301487,27.70857239
581.5,24.62557602,37.59996033,37.42420197,37.26293182,37.12417221,33.23669434,33.60639191,29.260252,33.28474426,24.4239502,15.43638229,20.86661148,20.98498917,19.55106926,20.26692772,16.96383476,17.09225464,15.14096928,28.99503326
582,25.78121948,38.76029587,38.60240555,38.49669266,38.36496735,34.5678215,34.9856987,30.60231781,33.76839066,25.56217003,15.93673801,21.74495125,21.87269211,20.35869026,21.15502357,17.56513596,17.72108269,15.60809231,30.32690239
582.5,27.0006218,39.76109314,39.6258812,39.59128571,39.47213745,35.84538269,36.31302643,31.96700287,34.10608673,26.76310921,16.43827057,22.67637253,22.81378365,21.20835114,22.08944321,18.18278694,18.36613083,16.07998276,31.68446922
583,28.27319908,40.57180786,40.46405029,40.51559067,40.41262054,37.03839874,37.55578613,33.33253479,34.2914772,28.02014923,16.93478012,23.66070366,23.80858994,22.09572601,23.0623703,18.81425858,19.02162933,16.55402756,33.0471611
583.5,29.58615494,41.16115952,41.08428192,41.23527908,41.15022278,38.11317444,38.67708206,34.67126083,34.31275558,29.31831169,17.42216682,24.69395065,24.85286713,23.01579666,24.06394196,19.45449257,19.68145561,17.02786255,34.38820648
584,30.92520142,41.51502609,41.47047806,41.72925568,41.6662674,39.04124069,39.64729309,35.95615768,34.17291641,30.64524651,17.90136909,25.77603722,25.94451714,23.96585846,25.08688354,20.10507584,20.34624481,17.50180435,35.6818428
584.5,32.2710495,41.61941528,41.60986328,41.978302,41.94090271,39.79314041,40.43546295,37.15633392,33.87523651,31.98202896,18.37906647,26.90239716,27.08096123,24.94196701,26.12480164,20.77129364,21.01936913,17.98314095,36.89827347
585,33.60279083,41.47435379,41.49945831,41.97493362,41.96474838,40.34609604,41.01889801,38.24356842,33.43422699,33.30897903,18.86479378,28.06857681,28.25505638,25.94281578,27.17416954,21.45857239,21.7073307,18.47953987,38.00637436
585.5,34.89659882,41.08758163,41.14865112,41.72350693,41.73994064,40.68707275,41.38069534,39.1902771,32.8621254,34.60299683,19.372612,29.26879501,29.4622879,26.96902657,28.23175049,22.17775154,22.42250252,19.00224113,38.98125839
586,36.12815475,40.47898865,40.57277679,41.23466492,41.27801514,40.80733871,41.51291275,39.97349167,32.17863464,35.84101868,19.91776657,30.49417877,30.69311333,28.01909256,29.29636192,22.94002151,23.17672729,19.5639534,39.79586029
586.5,37.27324295,39.67385483,39.79839706,40.53093719,40.60157013,40.70550537,41.41602707,40.57133102,31.40567207,36.99997711,20.51666451,31.73407173,31.93546295,29.09217262,30.36776733,23.75627708,23.98308563,20.17790222,40.43226624
587,38.30621338,38.70220566,38.85219574,39.63801956,39.73239136,40.38934708,41.09509659,40.96999741,30.56254196,38.05335236,21.18416977,32.9742775,33.17592621,30.18485451,31.44213295,24.63653374,24.85335541,20.85713387,40.8731308
587.5,39.20352173,37.59562302,37.76766205,38.58547211,38.70174026,39.87078094,40.56267548,41.15946579,29.67190361,38.97750854,21.93370247,34.19897079,34.39761353,31.29221916,32.5137291,25.58872414,25.79580307,21.61356926,41.10649109
588,39.93923569,36.38430023,36.57324219,37.40488434,37.53964233,39.16680527,39.83636856,41.13340378,28.74748802,39.74697876,22.77691078,35.38539886,35.57730484,32.40241241,33.57465363,26.61642838,26.81675529,22.45660782,41.1251297
588.5,40.49616623,35.10378647,35.30644226,36.13148117,36.28062439,38.30276871,38.94291306,40.89657211,27.81143761,40.34273529,23.72656441,36.51178741,36.69406509,33.50636292,34.61489868,27.72265053,27.92164421,23.39644241,40.93246078
589,40.85667038,33.78279495,33.99291229,34.79634857,34.95708466,37.3014946,37.90829086,40.45436096,26.87474823,40.74602509,24.7901783,37.55392838,37.72138596,34.58911514,35.62421036,28.9064579,29.10797501,24.43956757,40.53358841
589.5,41.01226044,32.45134735,32.66376114,33.43192291,33.59875488,36.19379807,36.76117706,39.8240242,25.9531517,40.94821548,25.97184753,38.48600006,38.63684082,35.6351738,36.58708954,30.16195297,30.37304306,25.5909481,39.94356918
590,40.95651245,31.12862778,31.33939362,32.06001663,32.2317543,35.00492859,35.5295105,39.02270508,25.05345535,40.93957138,27.27238274,39.28319168,39.41390991,36.62523651,37.48537445,31.47897911,31.70541,26.8497715,39.17827606
590.5,40.68808746,29.83091164,30.03868866,30.70440674,30.87656021,33.75815582,34.24059677,38.06985474,24.18300438,40.71749878,28.68468094,39.91832733,40.02809143,37.53384399,38.29743958,32.83702087,33.08568954,28.20835114,38.25609207
591,40.21224213,28.5749054,28.77601433,29.3814373,29.55217743,32.4786644,32.91823578,36.98961639,23.34399223,40.28767014,30.19314957,40.37078857,40.45615387,38.33676147,38.99782562,34.21258545,34.48851395,29.6537056,37.20110321
591.5,39.54159546,27.36975479,27.5618248,28.10476875,28.27210808,31.18973541,31.58565331,35.80773163,22.53937721,39.65962219,31.77394104,40.62239456,40.68294525,39.00642395,39.56209183,35.57325363,35.88053513,31.16513443,36.03857422
592,38.6938858,26.2222023,26.40536118,26.88442993,27.04574013,29.90675545,30.26376724,34.55078125,21.7702198,38.84977341,33.39311218,40.65981674,40.69615555,39.51641846,39.96788788,36.88207245,37.22077942,32.71253204,34.79370117
592.5,37.69149017,25.13475037,25.30729103,25.727005,25.88168907,28.64846802,28.96761322,33.24319839,21.0361824,37.88034058,35.01110458,40.47820663,40.49069595,39.84274292,40.19094086,38.09642792,38.46392822,34.2590332,33.49323273
593,36.56197357,24.10970497,24.27153015,24.63706017,24.78376961,27.42902565,27.71295929,31.91196632,20.33591461,36.77688599,36.57763672,40.08191299,40.07143021,39.96686554,40.212677,39.17248154,39.56296158,35.76241684,32.16366577
593.5,35.33146667,23.14488411,23.29584122,23.61292839,23.75150299,26.25668526,26.50937271,30.57756996,19.66566849,35.56670761,38.03491211,39.47640228,39.44586563,39.87493896,40.0211525,40.06459808,40.47034454,37.17356491,30.82699203
594,34.02992249,22.2400341,22.38044167,22.65614319,22.78664589,25.13928604,25.36428452,29.26151466,19.0268364,34.27827835,39.32852554,38.68081665,38.63360977,39.56096649,39.6122551,40.73614502,41.14161301,38.44530106,29.50459671
594.5,32.68422318,21.38913918,21.51872826,21.76053047,21.88372231,24.08028793,24.28124809,27.97642326,18.41285324,32.9386673,40.4055748,37.71466827,37.65270233,39.02727127,38.98553467,41.15299225,41.54156494,39.53118515,28.21043968
595,31.3199234,20.58828545,20.70790863,20.92336464,21.03859138,23.08156204,23.26164246,26.73776245,17.82472229,31.5752449,41.21720505,36.60430908,36.53212357,38.28453827,38.15325165,41.29269409,41.64534378,40.38906479,26.96096992
595.5,29.96056175,19.83216286,19.94309807,20.1395359,20.24839973,22.14395905,22.30670738,25.55560112,17.25816727,30.21282768,41.73259354,35.38097382,35.30061722,37.35160828,37.13275528,41.14764404,41.44565201,40.98785782,25.76653099
596,28.62852478,19.11956978,19.22220039,19.40558624,19.50973129,21.26737785,21.41481018,24.4378643,16.71536827,28.873209,41.93561935,34.07661057,33.98963547,36.25566483,35.95504379,40.72180939,40.95021057,41.30821991,24.63545799
596.5,27.34012032,18.44625664,18.54242516,18.71746635,18.81684494,20.44909477,20.58407593,23.38863182,16.19421768,27.57472229,41.82753754,32.72232819,32.63180923,35.02951813,34.65520096,40.03445053,40.18208694,41.34537888,23.5734005
597,26.10904121,17.80900574,17.8993969,18.07087326,18.1658783,19.68479538,19.80923271,22.40918159,15.695714,26.33092499,41.42478561,31.34723091,31.25610733,33.70951462,33.26635742,39.11590958,39.17632675,41.10738373,22.58112144
597.5,24.9433918,17.20444679,17.28962326,17.46090698,17.55141449,18.97048569,19.08594513,21.49654007,15.21807384,25.15119553,40.75491333,29.97597122,29.88557053,32.3299675,31.83159637,38.00394058,37.97707367,40.61140442,21.65732956
598,23.84659958,16.63092995,16.71076012,16.88449478,16.97139549,18.30215073,18.40943909,20.64817619,14.76091766,24.03978348,39.85419846,28.62856674,28.54088402,30.92435265,30.3822937,36.73781967,36.63057709,39.88293839,20.79787636
598.5,22.82203674,16.08688164,16.16259384,16.33978844,16.42346573,17.67595482,17.77567101,19.86050797,14.32417107,23.0015564,38.76462173,27.32684898,27.2420578,29.52400589,28.9509449,35.3619957,35.18559647,38.95664215,20.00007057
599,21.86928368,15.5699892,15.64133453,15.82267284,15.90377998,17.0863781,17.17967033,19.12758827,13.90751743,22.03444672,37.53003311,26.0799427,26.00080109,28.15336418,27.56142044,33.91684723,33.68421173,37.86821747,19.25812721
599.5,20.98517418,15.07957649,15.14708519,15.33242416,15.41028404,16.53061485,16.61841393,18.44577026,13.51195335,21.13667488,36.19057846,24.89979362,24.82693863,26.83302307,26.2324791,32.44190216,32.1642189,36.65619278,18.56772614
600,20.16523743,14.61406708,14.67784977,14.86650372,14.94184208,16.00611115,16.08844185,17.8085022,13.13563442,20.30463982,34.78722763,23.79170799,23.72416496,25.5755825,24.97603798,30.96846199,30.66025352,35.35571289,17.92264748
600.5,19.40522575,14.17348671,14.23386574,14.42436314,14.49757481,15.51072788,15.5881443,17.21203613,12.77905369,19.5338974,33.35329056,22.75755692,22.69635201,24.3907814,23.8000145,29.52365494,29.19635391,34.00078201,17.31964874
601,18.69924736,13.75680542,13.81367111,14.00426483,14.07496071,15.04147816,15.11418915,16.65215302,12.44048119,18.81879997,31.92178154,21.79766846,21.74138832,23.28287697,22.70683479,28.12936401,27.79427338,32.62407303,16.75395012
601.5,18.04146194,13.36193085,13.41553116,13.60475826,13.67313671,14.59553146,14.66372681,16.12459755,12.11984253,18.15335274,30.51856804,20.9083004,20.85720634,22.25468445,21.69786072,26.80207443,26.4683609,31.25285912,16.22052765
602,17.42651558,12.98697662,13.03790665,13.22309303,13.28936005,14.1707716,14.23461628,15.624403,11.81564426,17.53110695,29.16602898,20.08422089,20.03897476,21.30542755,20.77138138,25.55392456,25.22946167,29.91155815,15.71601391
602.5,16.84953117,12.63182735,12.67969131,12.85985184,12.92410851,13.7669735,13.82670212,15.15137386,11.52649784,16.94771576,27.88098145,19.32283211,19.28176498,20.43286705,19.92342377,24.39279556,24.08429146,28.61796379,15.23773384
603,16.30803299,12.29516125,12.34033871,12.5143013,12.57584095,13.3824501,13.43860531,14.70276642,11.25146103,16.40097427,26.67447662,18.61828613,18.58184242,19.63447762,19.15092278,23.32275009,23.03429794,27.3878994,14.7843399
603.5,15.79983807,11.97641659,12.01892662,12.18532276,12.2446537,13.01655293,13.06954098,14.27732658,10.99010468,15.88717079,25.55318832,17.96667099,17.93393135,18.90426445,18.44746399,22.34310722,22.07790947,26.2296257,14.35462475
604,15.32118988,11.67327881,11.71313667,11.87160206,11.92899132,12.66798496,12.71783829,13.8732748,10.74065685,15.40397263,24.51717949,17.36256599,17.33297729,18.23638153,17.80700111,21.45083809,21.2109642,25.14741325,13.94673729
604.5,14.86791897,11.38433838,11.42167091,11.57182598,11.62721539,12.3348074,12.38188362,13.48804188,10.50155926,14.94686317,23.56219482,16.79948807,16.77182579,17.62365532,17.22179794,20.63792229,20.42369843,24.14014626,13.55788898
605,14.43861103,11.10818768,11.14311886,11.28494167,11.3382206,12.01638794,12.06054878,13.12005997,10.27143955,14.51360703,22.68139267,16.27178001,16.24673271,17.05949402,16.6848526,19.89587593,19.70754242,23.20290184,13.18710423
605.5,14.03093624,10.84343147,10.87649822,11.01008224,11.06155396,11.71145725,11.75311279,12.76861572,10.04894066,14.1020956,21.86459351,15.77539349,15.75309181,16.53630257,16.18765831,19.21512604,19.05116272,22.33058357,12.83275318
606,13.64339256,10.58975506,10.62090397,10.74669266,10.7964859,11.41927528,11.45891857,12.43298721,9.833768845,13.71101856,21.10118675,15.3080225,15.28753185,16.04795456,15.72510242,18.58627892,18.44283867,21.51520729,12.49401665
606.5,13.27426815,10.34563732,10.37510777,10.49395466,10.5422678,11.13920403,11.17669392,12.11147594,9.625061035,13.33830547,20.38059998,14.86576748,14.84718609,15.58884907,15.28926849,17.99956512,17.87226677,20.74956131,12.16971779
607,12.92139339,10.11046505,10.13839149,10.25148773,10.2981081,10.87048626,10.90583611,11.80334663,9.422408104,12.98254967,19.69459915,14.44551373,14.42872143,15.15340805,14.87431812,17.44690704,17.3311348,20.02599525,11.85894966
